"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"02/01/2024 07:00:00 - 02/01/2024 07:15:00","BZN|FI","1559.90","1529.40","1524.20","1552.40"
"02/01/2024 07:15:00 - 02/01/2024 07:30:00","BZN|FI","1544.30","1525.00","1523.80","1586.10"
"02/01/2024 07:30:00 - 02/01/2024 07:45:00","BZN|FI","1530.70","1520.40","1523.20","1627.00"
"02/01/2024 07:45:00 - 02/01/2024 08:00:00","BZN|FI","1517.80","1517.90","1521.50","1663.50"
"02/01/2024 08:00:00 - 02/01/2024 08:15:00","BZN|FI","1505.50","1517.40","1571.60","1698.20"
"02/01/2024 08:15:00 - 02/01/2024 08:30:00","BZN|FI","1495.50","1516.60","1571.30","1701.40"
"02/01/2024 08:30:00 - 02/01/2024 08:45:00","BZN|FI","1486.40","1516.40","1571.20","1702.20"
"02/01/2024 08:45:00 - 02/01/2024 09:00:00","BZN|FI","1482.20","1515.30","1568.90","1699.80"
"02/01/2024 09:00:00 - 02/01/2024 09:15:00","BZN|FI","1486.30","1511.70","1701.50","1660.20"
"02/01/2024 09:15:00 - 02/01/2024 09:30:00","BZN|FI","1481.00","1513.70","1702.70","1596.10"
"02/01/2024 09:30:00 - 02/01/2024 09:45:00","BZN|FI","1469.90","1519.00","1703.90","1532.80"
"02/01/2024 09:45:00 - 02/01/2024 10:00:00","BZN|FI","1456.60","1529.30","1709.20","1490.90"
"02/01/2024 10:00:00 - 02/01/2024 10:15:00","BZN|FI","1439.70","1548.20","1792.60","1419.90"
"02/01/2024 10:15:00 - 02/01/2024 10:30:00","BZN|FI","1421.60","1559.70","1789.50","1399.80"
"02/01/2024 10:30:00 - 02/01/2024 10:45:00","BZN|FI","1403.50","1566.80","1783.90","1384.80"
"02/01/2024 10:45:00 - 02/01/2024 11:00:00","BZN|FI","1378.30","1573.60","1773.50","1381.70"
"02/01/2024 11:00:00 - 02/01/2024 11:15:00","BZN|FI","1341.50","1579.30","1666.80","1350.70"
"02/01/2024 11:15:00 - 02/01/2024 11:30:00","BZN|FI","1318.50","1583.10","1666.60","1321.00"
"02/01/2024 11:30:00 - 02/01/2024 11:45:00","BZN|FI","1304.90","1586.30","1666.10","1317.20"
"02/01/2024 11:45:00 - 02/01/2024 12:00:00","BZN|FI","1292.80","1585.00","1665.70","1340.70"
"02/01/2024 12:00:00 - 02/01/2024 12:15:00","BZN|FI","1282.40","1576.50","1517.30","1371.20"
"02/01/2024 12:15:00 - 02/01/2024 12:30:00","BZN|FI","1280.50","1576.00","1519.30","1372.90"
"02/01/2024 12:30:00 - 02/01/2024 12:45:00","BZN|FI","1284.70","1580.80","1523.70","1378.70"
"02/01/2024 12:45:00 - 02/01/2024 13:00:00","BZN|FI","1297.20","1586.30","1529.00","1432.90"
"02/01/2024 13:00:00 - 02/01/2024 13:15:00","BZN|FI","1320.90","1592.80","1491.80","1478.70"
"02/01/2024 13:15:00 - 02/01/2024 13:30:00","BZN|FI","1341.60","1603.60","1497.70","1458.10"
"02/01/2024 13:30:00 - 02/01/2024 13:45:00","BZN|FI","1361.30","1617.80","1507.90","1458.30"
"02/01/2024 13:45:00 - 02/01/2024 14:00:00","BZN|FI","1385.80","1636.10","1529.40","1473.40"
"02/01/2024 14:00:00 - 02/01/2024 14:15:00","BZN|FI","1415.60","1659.80","1613.60","1477.60"
"02/01/2024 14:15:00 - 02/01/2024 14:30:00","BZN|FI","1442.60","1682.80","1617.90","1452.60"
"02/01/2024 14:30:00 - 02/01/2024 14:45:00","BZN|FI","1468.90","1704.80","1625.40","1436.70"
"02/01/2024 14:45:00 - 02/01/2024 15:00:00","BZN|FI","1494.20","1732.50","1640.60","1414.50"
"02/01/2024 15:00:00 - 02/01/2024 15:15:00","BZN|FI","1516.40","1769.10","1699.50","1491.30"
"02/01/2024 15:15:00 - 02/01/2024 15:30:00","BZN|FI","1544.50","1794.90","1705.00","1557.50"
"02/01/2024 15:30:00 - 02/01/2024 15:45:00","BZN|FI","1575.50","1813.70","1714.10","1534.00"
"02/01/2024 15:45:00 - 02/01/2024 16:00:00","BZN|FI","1612.90","1830.30","1734.30","1534.30"
"02/01/2024 16:00:00 - 02/01/2024 16:15:00","BZN|FI","1661.60","1843.30","1716.80","1522.50"
"02/01/2024 16:15:00 - 02/01/2024 16:30:00","BZN|FI","1698.20","1853.20","1721.70","1500.30"
"02/01/2024 16:30:00 - 02/01/2024 16:45:00","BZN|FI","1727.30","1861.00","1730.10","1504.00"
"02/01/2024 16:45:00 - 02/01/2024 17:00:00","BZN|FI","1753.80","1862.10","1747.70","1537.00"
"02/01/2024 17:00:00 - 02/01/2024 17:15:00","BZN|FI","1775.60","1853.40","1812.20","1570.20"
"02/01/2024 17:15:00 - 02/01/2024 17:30:00","BZN|FI","1796.40","1852.40","1815.80","1584.60"
"02/01/2024 17:30:00 - 02/01/2024 17:45:00","BZN|FI","1814.70","1855.70","1822.30","1492.40"
"02/01/2024 17:45:00 - 02/01/2024 18:00:00","BZN|FI","1832.50","1858.70","1835.20","1450.40"
"02/01/2024 18:00:00 - 02/01/2024 18:15:00","BZN|FI","1852.50","1862.00","1813.80","1461.40"
"02/01/2024 18:15:00 - 02/01/2024 18:30:00","BZN|FI","1862.50","1867.60","1819.00","1480.20"
"02/01/2024 18:30:00 - 02/01/2024 18:45:00","BZN|FI","1865.70","1874.70","1826.70","1558.80"
"02/01/2024 18:45:00 - 02/01/2024 19:00:00","BZN|FI","1861.70","1884.70","1847.90","1601.70"
"02/01/2024 19:00:00 - 02/01/2024 19:15:00","BZN|FI","1847.40","1899.10","1816.60","1655.90"
"02/01/2024 19:15:00 - 02/01/2024 19:30:00","BZN|FI","1835.80","1910.40","1818.20","1701.30"
"02/01/2024 19:30:00 - 02/01/2024 19:45:00","BZN|FI","1824.80","1920.00","1819.90","1787.80"
"02/01/2024 19:45:00 - 02/01/2024 20:00:00","BZN|FI","1809.80","1929.40","1827.90","1817.20"
"02/01/2024 20:00:00 - 02/01/2024 20:15:00","BZN|FI","1790.90","1937.60","1784.20","1821.30"
"02/01/2024 20:15:00 - 02/01/2024 20:30:00","BZN|FI","1772.80","1946.90","1782.90","1819.60"
"02/01/2024 20:30:00 - 02/01/2024 20:45:00","BZN|FI","1755.50","1957.00","1780.20","1759.30"
"02/01/2024 20:45:00 - 02/01/2024 21:00:00","BZN|FI","1734.10","1966.80","1776.00","1723.20"
"02/01/2024 21:00:00 - 02/01/2024 21:15:00","BZN|FI","1706.20","1976.20","1878.30","1682.00"
"02/01/2024 21:15:00 - 02/01/2024 21:30:00","BZN|FI","1686.40","1987.00","1874.70","1668.30"
"02/01/2024 21:30:00 - 02/01/2024 21:45:00","BZN|FI","1673.00","1996.50","1868.70","1642.10"
"02/01/2024 21:45:00 - 02/01/2024 22:00:00","BZN|FI","1658.80","2013.40","1855.60","1620.90"
"02/01/2024 22:00:00 - 02/01/2024 22:15:00","BZN|FI","1642.40","2044.50","1839.90","1567.70"
"02/01/2024 22:15:00 - 02/01/2024 22:30:00","BZN|FI","1636.90","2053.80","1837.70","1488.30"
"02/01/2024 22:30:00 - 02/01/2024 22:45:00","BZN|FI","1637.40","2051.40","1834.50","1419.40"
"02/01/2024 22:45:00 - 02/01/2024 23:00:00","BZN|FI","1650.30","2032.80","1825.40","1362.30"
"02/01/2024 23:00:00 - 02/01/2024 23:15:00","BZN|FI","1683.30","1985.90","1752.50","1359.40"
"02/01/2024 23:15:00 - 02/01/2024 23:30:00","BZN|FI","1698.60","1964.10","1753.00","1355.70"
"02/01/2024 23:30:00 - 02/01/2024 23:45:00","BZN|FI","1703.30","1957.40","1754.00","1350.90"
"02/01/2024 23:45:00 - 03/01/2024 00:00:00","BZN|FI","1706.80","1952.30","1754.90","1387.40"
"03/01/2024 00:00:00 - 03/01/2024 00:15:00","BZN|FI","1752.00","1555.80","1629.10","1464.70"
"03/01/2024 00:15:00 - 03/01/2024 00:30:00","BZN|FI","1752.60","1567.50","1632.00","1501.20"
